city;state_id;state_name;county_name;lat;lng
Sun River Terrace;IL;Illinois;Kankakee;41,1254;-87,7337
Ochelata;OK;Oklahoma;Washington;36,6021;-95,9725
Muir;MI;Michigan;Ionia;42,9973;-84,9359
Parmelee;SD;South Dakota;Todd;43,3241;-101,041
Tierra Amarilla;NM;New Mexico;Rio Arriba;36,7061;-106,5599
Mamers;NC;North Carolina;Harnett;35,416;-78,939
Dierks;AR;Arkansas;Howard;34,12;-94,0173
Garysburg;NC;North Carolina;Northampton;36,4479;-77,5603
Clarkrange;TN;Tennessee;Fentress;36,1857;-85,0096
Westmoreland;KS;Kansas;Pottawatomie;39,3941;-96,4137
Yates City;IL;Illinois;Knox;40,7776;-90,0139
Fincastle;VA;Virginia;Botetourt;37,5006;-79,8749
Ashley;ND;North Dakota;McIntosh;46,0347;-99,3736
Cedarville;NJ;New Jersey;Cumberland;39,3382;-75,2068
Daufuskie Island;SC;South Carolina;Beaufort;32,1181;-80,8656
Corinna;ME;Maine;Penobscot;44,9223;-69,2628
Woodmere;OH;Ohio;Cuyahoga;41,4598;-81,4799
Batavia;IA;Iowa;Jefferson;40,9949;-92,1673
Langeloth;PA;Pennsylvania;Washington;40,3631;-80,4138
Sharon Springs;NY;New York;Schoharie;42,793;-74,6128
Alexis;NC;North Carolina;Gaston;35,3968;-81,119
Francisco;IN;Indiana;Gibson;38,3327;-87,4481
Culbertson;NE;Nebraska;Hitchcock;40,2284;-100,8351
Idamay;WV;West Virginia;Marion;39,493;-80,2572
Danville;WV;West Virginia;Boone;38,0808;-81,8342
Clearbrook;MN;Minnesota;Clearwater;47,6962;-95,4293
Olustee;OK;Oklahoma;Jackson;34,5477;-99,4241
Nucla;CO;Colorado;Montrose;38,2668;-108,5487
Paris;ID;Idaho;Bear Lake;42,2273;-111,4032
South Hills;MT;Montana;Jefferson;46,5564;-111,9975
What Cheer;IA;Iowa;Keokuk;41,3997;-92,3547
Merigold;MS;Mississippi;Bolivar;33,8392;-90,7264
Paauilo;HI;Hawaii;Hawaii;20,0398;-155,3708
Jonesport;ME;Maine;Washington;44,5338;-67,6152
Byromville;GA;Georgia;Dooly;32,2017;-83,9072
Brent;OK;Oklahoma;Sequoyah;35,364;-94,788
Cordova;IL;Illinois;Rock Island;41,6775;-90,3218
Doyline;LA;Louisiana;Webster;32,525;-93,4118
Mooringsport;LA;Louisiana;Caddo;32,6824;-93,9605
Walnut;MS;Mississippi;Tippah;34,9497;-88,9236
Welch;OK;Oklahoma;Craig;36,8743;-95,0946
Murdo;SD;South Dakota;Jones;43,8893;-100,7142
Wausaukee;WI;Wisconsin;Marinette;45,378;-87,9553
East Randolph;NY;New York;Cattaraugus;42,1693;-78,952
Midway;AL;Alabama;Bullock;32,0764;-85,5244
Nocona Hills;TX;Texas;Montague;33,8524;-97,6435
Corwin;OH;Ohio;Warren;39,5254;-84,0699
Industry;IL;Illinois;McDonough;40,327;-90,6082
Linn;TX;Texas;Hidalgo;26,5662;-98,1298
Sycamore;OH;Ohio;Wyandot;40,9517;-83,1709
Evans Mills;NY;New York;Jefferson;44,087;-75,8078
Stetsonville;WI;Wisconsin;Taylor;45,0772;-90,3143
New Boston;IL;Illinois;Mercer;41,1698;-90,9998
Graford;TX;Texas;Palo Pinto;32,9374;-98,2474
Ettrick;WI;Wisconsin;Trempealeau;44,1695;-91,2651
Warren;TX;Texas;Tyler;30,6127;-94,4105
Catawba;NC;North Carolina;Catawba;35,7095;-81,0668
Deal;NJ;New Jersey;Monmouth;40,2497;-73,9976
Ravenna;KY;Kentucky;Estill;37,6871;-83,9502
Watauga;TN;Tennessee;Carter;36,3687;-82,2919
Dahlgren;IL;Illinois;Hamilton;38,198;-88,6847
St. Francis;SD;South Dakota;Todd;43,1426;-100,9028
Upton;KY;Kentucky;Hardin;37,4626;-85,899
Mesa;WA;Washington;Franklin;46,5735;-119,0013
Carbonado;WA;Washington;Pierce;47,0806;-122,0536
Evansville;MN;Minnesota;Douglas;46,0062;-95,6869
Carroll;OH;Ohio;Fairfield;39,8025;-82,7062
Parkdale;MI;Michigan;Manistee;44,272;-86,2805
New Jerusalem;PA;Pennsylvania;Berks;40,4454;-75,753
Noble;IL;Illinois;Richland;38,6974;-88,2232
Mountainburg;AR;Arkansas;Crawford;35,636;-94,1681
Hawk Point;MO;Missouri;Lincoln;38,9715;-91,1318
Mendocino;CA;California;Mendocino;39,311;-123,7908
Estherwood;LA;Louisiana;Acadia;30,1816;-92,4633
Crescent Valley;NV;Nevada;Eureka;40,4198;-116,5753
Webster;WI;Wisconsin;Burnett;45,8798;-92,3628
Red Rock;TX;Texas;Bastrop;29,96;-97,4428
Coffeen;IL;Illinois;Montgomery;39,0883;-89,3898
Mertztown;PA;Pennsylvania;Berks;40,5033;-75,6674
Cliffside;NC;North Carolina;Rutherford;35,248;-81,7653
Lakota;ND;North Dakota;Nelson;48,0429;-98,3468
Shoshoni;WY;Wyoming;Fremont;43,2381;-108,1068
Vermont;IL;Illinois;Fulton;40,2957;-90,429
